id,state,Brand
01,Alabama,B
02,Alaska,B
04,Arizona,B
05,Arkansas,B
06,California,B
08,Colorado,B
09,Connecticut,B
10,Delaware,B
11,Florida,B
12,Georgia,B
13,Hawaii,B
16,Idaho,A
17,Illinois,B
18,Indiana,B
19,Iowa,B
20,Kansas,A
21,Kentucky,B
22,Louisiana,A
23,Maine,B
24,Maryland,C
25,Massachusetts,B
26,Michigan,A
27,Minnesota,B
28,Mississippi,C
29,Missouri,C
30,Montana,C
31,Nebraska,B
32,Nevada,A
33,New Hampshire,B
34,New Jersey,B
35,New Mexico,C
36,New York,B
37,North Carolina,C
38,North Dakota,B
39,Ohio,B
40,Oklahoma,B
41,Oregon,C
42,Pennsylvania,A
44,Rhode Island,A
45,South Carolina,B
46,South Dakota,C
47,Tennessee,C
48,Texas,C
49,Utah,C
50,Vermont,C
51,Virginia,A
53,Washington,A
54,West Virginia,B
55,Wisconsin,B
56,Wyoming,A
