id,state,Brand
01,Alabama,C
02,Alaska,C
04,Arizona,C
05,Arkansas,C
06,California,C
08,Colorado,C
09,Connecticut,C
10,Delaware,C
11,Florida,C
12,Georgia,B
13,Hawaii,A
16,Idaho,B
17,Illinois,C
18,Indiana,C
19,Iowa,B
20,Kansas,C
21,Kentucky,B
22,Louisiana,A
23,Maine,C
24,Maryland,A
25,Massachusetts,A
26,Michigan,C
27,Minnesota,C
28,Mississippi,B
29,Missouri,B
30,Montana,A
31,Nebraska,C
32,Nevada,A
33,New Hampshire,C
34,New Jersey,A
35,New Mexico,C
36,New York,A
37,North Carolina,C
38,North Dakota,B
39,Ohio,C
40,Oklahoma,C
41,Oregon,C
42,Pennsylvania,C
44,Rhode Island,C
45,South Carolina,B
46,South Dakota,A
47,Tennessee,A
48,Texas,B
49,Utah,C
50,Vermont,A
51,Virginia,B
53,Washington,B
54,West Virginia,C
55,Wisconsin,B
56,Wyoming,B
