id,state,Brand
01,Alabama,C
02,Alaska,C
04,Arizona,C
05,Arkansas,C
06,California,C
08,Colorado,C
09,Connecticut,C
10,Delaware,C
11,Florida,C
12,Georgia,A
13,Hawaii,A
16,Idaho,B
17,Illinois,C
18,Indiana,A
19,Iowa,B
20,Kansas,C
21,Kentucky,C
22,Louisiana,C
23,Maine,C
24,Maryland,B
25,Massachusetts,C
26,Michigan,B
27,Minnesota,C
28,Mississippi,A
29,Missouri,B
30,Montana,A
31,Nebraska,A
32,Nevada,A
33,New Hampshire,B
34,New Jersey,A
35,New Mexico,C
36,New York,C
37,North Carolina,A
38,North Dakota,C
39,Ohio,C
40,Oklahoma,A
41,Oregon,C
42,Pennsylvania,C
44,Rhode Island,B
45,South Carolina,B
46,South Dakota,A
47,Tennessee,A
48,Texas,A
49,Utah,C
50,Vermont,B
51,Virginia,B
53,Washington,C
54,West Virginia,B
55,Wisconsin,A
56,Wyoming,A
