id,state,Brand
01,Alabama,C
02,Alaska,C
04,Arizona,C
05,Arkansas,C
06,California,C
08,Colorado,C
09,Connecticut,C
10,Delaware,C
11,Florida,C
12,Georgia,C
13,Hawaii,C
16,Idaho,C
17,Illinois,C
18,Indiana,C
19,Iowa,B
20,Kansas,C
21,Kentucky,B
22,Louisiana,C
23,Maine,C
24,Maryland,C
25,Massachusetts,B
26,Michigan,C
27,Minnesota,C
28,Mississippi,C
29,Missouri,B
30,Montana,C
31,Nebraska,B
32,Nevada,B
33,New Hampshire,A
34,New Jersey,C
35,New Mexico,A
36,New York,B
37,North Carolina,B
38,North Dakota,C
39,Ohio,A
40,Oklahoma,A
41,Oregon,C
42,Pennsylvania,A
44,Rhode Island,C
45,South Carolina,C
46,South Dakota,A
47,Tennessee,C
48,Texas,A
49,Utah,C
50,Vermont,C
51,Virginia,C
53,Washington,C
54,West Virginia,A
55,Wisconsin,B
56,Wyoming,C
