id,state,Brand
01,Alabama,A
02,Alaska,A
04,Arizona,A
05,Arkansas,A
06,California,A
08,Colorado,A
09,Connecticut,C
10,Delaware,B
11,Florida,A
12,Georgia,B
13,Hawaii,C
16,Idaho,B
17,Illinois,C
18,Indiana,C
19,Iowa,A
20,Kansas,B
21,Kentucky,A
22,Louisiana,B
23,Maine,B
24,Maryland,A
25,Massachusetts,A
26,Michigan,A
27,Minnesota,A
28,Mississippi,C
29,Missouri,C
30,Montana,B
31,Nebraska,B
32,Nevada,A
33,New Hampshire,A
34,New Jersey,B
35,New Mexico,A
36,New York,A
37,North Carolina,A
38,North Dakota,A
39,Ohio,A
40,Oklahoma,A
41,Oregon,B
42,Pennsylvania,A
44,Rhode Island,C
45,South Carolina,A
46,South Dakota,B
47,Tennessee,B
48,Texas,A
49,Utah,A
50,Vermont,C
51,Virginia,C
53,Washington,B
54,West Virginia,A
55,Wisconsin,C
56,Wyoming,B
