id,state,Brand
01,Alabama,B
02,Alaska,B
04,Arizona,B
05,Arkansas,B
06,California,B
08,Colorado,B
09,Connecticut,B
10,Delaware,B
11,Florida,A
12,Georgia,A
13,Hawaii,B
16,Idaho,C
17,Illinois,A
18,Indiana,B
19,Iowa,C
20,Kansas,A
21,Kentucky,B
22,Louisiana,A
23,Maine,B
24,Maryland,B
25,Massachusetts,A
26,Michigan,B
27,Minnesota,C
28,Mississippi,B
29,Missouri,C
30,Montana,B
31,Nebraska,B
32,Nevada,B
33,New Hampshire,A
34,New Jersey,C
35,New Mexico,A
36,New York,B
37,North Carolina,C
38,North Dakota,A
39,Ohio,B
40,Oklahoma,A
41,Oregon,B
42,Pennsylvania,C
44,Rhode Island,B
45,South Carolina,A
46,South Dakota,A
47,Tennessee,A
48,Texas,C
49,Utah,B
50,Vermont,B
51,Virginia,B
53,Washington,B
54,West Virginia,A
55,Wisconsin,A
56,Wyoming,A
