id,state,Brand
01,Alabama,B
02,Alaska,B
04,Arizona,B
05,Arkansas,B
06,California,B
08,Colorado,B
09,Connecticut,B
10,Delaware,B
11,Florida,B
12,Georgia,B
13,Hawaii,B
16,Idaho,B
17,Illinois,A
18,Indiana,C
19,Iowa,B
20,Kansas,B
21,Kentucky,A
22,Louisiana,B
23,Maine,C
24,Maryland,C
25,Massachusetts,C
26,Michigan,C
27,Minnesota,C
28,Mississippi,B
29,Missouri,B
30,Montana,C
31,Nebraska,C
32,Nevada,A
33,New Hampshire,A
34,New Jersey,A
35,New Mexico,A
36,New York,A
37,North Carolina,B
38,North Dakota,A
39,Ohio,A
40,Oklahoma,B
41,Oregon,C
42,Pennsylvania,B
44,Rhode Island,C
45,South Carolina,C
46,South Dakota,B
47,Tennessee,B
48,Texas,C
49,Utah,B
50,Vermont,A
51,Virginia,C
53,Washington,B
54,West Virginia,C
55,Wisconsin,C
56,Wyoming,C
