id,state,Brand
01,Alabama,A
02,Alaska,A
04,Arizona,A
05,Arkansas,A
06,California,A
08,Colorado,A
09,Connecticut,A
10,Delaware,C
11,Florida,C
12,Georgia,B
13,Hawaii,A
16,Idaho,B
17,Illinois,C
18,Indiana,A
19,Iowa,B
20,Kansas,B
21,Kentucky,C
22,Louisiana,B
23,Maine,C
24,Maryland,A
25,Massachusetts,A
26,Michigan,C
27,Minnesota,A
28,Mississippi,C
29,Missouri,A
30,Montana,A
31,Nebraska,A
32,Nevada,C
33,New Hampshire,C
34,New Jersey,A
35,New Mexico,A
36,New York,A
37,North Carolina,B
38,North Dakota,A
39,Ohio,B
40,Oklahoma,C
41,Oregon,A
42,Pennsylvania,B
44,Rhode Island,A
45,South Carolina,C
46,South Dakota,A
47,Tennessee,A
48,Texas,B
49,Utah,A
50,Vermont,A
51,Virginia,A
53,Washington,A
54,West Virginia,A
55,Wisconsin,A
56,Wyoming,A
