id,state,Brand
01,Alabama,C
02,Alaska,C
04,Arizona,C
05,Arkansas,C
06,California,C
08,Colorado,C
09,Connecticut,C
10,Delaware,C
11,Florida,A
12,Georgia,A
13,Hawaii,A
16,Idaho,B
17,Illinois,B
18,Indiana,B
19,Iowa,A
20,Kansas,A
21,Kentucky,C
22,Louisiana,C
23,Maine,C
24,Maryland,B
25,Massachusetts,B
26,Michigan,C
27,Minnesota,C
28,Mississippi,A
29,Missouri,C
30,Montana,C
31,Nebraska,C
32,Nevada,C
33,New Hampshire,A
34,New Jersey,C
35,New Mexico,C
36,New York,A
37,North Carolina,A
38,North Dakota,C
39,Ohio,C
40,Oklahoma,C
41,Oregon,A
42,Pennsylvania,B
44,Rhode Island,A
45,South Carolina,C
46,South Dakota,C
47,Tennessee,A
48,Texas,B
49,Utah,B
50,Vermont,B
51,Virginia,B
53,Washington,B
54,West Virginia,C
55,Wisconsin,A
56,Wyoming,C
