id,state,Brand
01,Alabama,B
02,Alaska,B
04,Arizona,B
05,Arkansas,B
06,California,B
08,Colorado,B
09,Connecticut,B
10,Delaware,B
11,Florida,B
12,Georgia,B
13,Hawaii,B
16,Idaho,B
17,Illinois,B
18,Indiana,A
19,Iowa,C
20,Kansas,B
21,Kentucky,B
22,Louisiana,A
23,Maine,B
24,Maryland,B
25,Massachusetts,C
26,Michigan,B
27,Minnesota,A
28,Mississippi,A
29,Missouri,B
30,Montana,C
31,Nebraska,A
32,Nevada,B
33,New Hampshire,C
34,New Jersey,A
35,New Mexico,A
36,New York,A
37,North Carolina,A
38,North Dakota,A
39,Ohio,A
40,Oklahoma,B
41,Oregon,B
42,Pennsylvania,B
44,Rhode Island,A
45,South Carolina,C
46,South Dakota,B
47,Tennessee,A
48,Texas,B
49,Utah,C
50,Vermont,C
51,Virginia,A
53,Washington,A
54,West Virginia,A
55,Wisconsin,C
56,Wyoming,A
