id,state,Brand
01,Alabama,A
02,Alaska,A
04,Arizona,A
05,Arkansas,A
06,California,A
08,Colorado,A
09,Connecticut,A
10,Delaware,A
11,Florida,A
12,Georgia,A
13,Hawaii,C
16,Idaho,A
17,Illinois,B
18,Indiana,C
19,Iowa,A
20,Kansas,A
21,Kentucky,B
22,Louisiana,A
23,Maine,C
24,Maryland,C
25,Massachusetts,C
26,Michigan,B
27,Minnesota,A
28,Mississippi,A
29,Missouri,A
30,Montana,C
31,Nebraska,C
32,Nevada,C
33,New Hampshire,B
34,New Jersey,B
35,New Mexico,A
36,New York,C
37,North Carolina,C
38,North Dakota,B
39,Ohio,B
40,Oklahoma,C
41,Oregon,B
42,Pennsylvania,B
44,Rhode Island,C
45,South Carolina,A
46,South Dakota,A
47,Tennessee,C
48,Texas,B
49,Utah,B
50,Vermont,C
51,Virginia,A
53,Washington,B
54,West Virginia,B
55,Wisconsin,C
56,Wyoming,A
