id,state,Brand
01,Alabama,C
02,Alaska,C
04,Arizona,C
05,Arkansas,C
06,California,C
08,Colorado,C
09,Connecticut,C
10,Delaware,C
11,Florida,C
12,Georgia,B
13,Hawaii,C
16,Idaho,C
17,Illinois,C
18,Indiana,A
19,Iowa,B
20,Kansas,A
21,Kentucky,C
22,Louisiana,A
23,Maine,C
24,Maryland,A
25,Massachusetts,A
26,Michigan,B
27,Minnesota,C
28,Mississippi,C
29,Missouri,A
30,Montana,C
31,Nebraska,B
32,Nevada,B
33,New Hampshire,C
34,New Jersey,B
35,New Mexico,C
36,New York,C
37,North Carolina,C
38,North Dakota,B
39,Ohio,A
40,Oklahoma,B
41,Oregon,A
42,Pennsylvania,C
44,Rhode Island,C
45,South Carolina,A
46,South Dakota,C
47,Tennessee,A
48,Texas,B
49,Utah,B
50,Vermont,A
51,Virginia,B
53,Washington,B
54,West Virginia,B
55,Wisconsin,A
56,Wyoming,C
