id,state,Brand
01,Alabama,B
02,Alaska,B
04,Arizona,B
05,Arkansas,B
06,California,B
08,Colorado,B
09,Connecticut,B
10,Delaware,B
11,Florida,B
12,Georgia,B
13,Hawaii,B
16,Idaho,B
17,Illinois,A
18,Indiana,A
19,Iowa,B
20,Kansas,A
21,Kentucky,C
22,Louisiana,C
23,Maine,C
24,Maryland,A
25,Massachusetts,B
26,Michigan,C
27,Minnesota,C
28,Mississippi,A
29,Missouri,A
30,Montana,A
31,Nebraska,C
32,Nevada,B
33,New Hampshire,C
34,New Jersey,A
35,New Mexico,B
36,New York,C
37,North Carolina,A
38,North Dakota,B
39,Ohio,B
40,Oklahoma,C
41,Oregon,A
42,Pennsylvania,C
44,Rhode Island,B
45,South Carolina,A
46,South Dakota,B
47,Tennessee,A
48,Texas,C
49,Utah,B
50,Vermont,A
51,Virginia,B
53,Washington,B
54,West Virginia,C
55,Wisconsin,A
56,Wyoming,C
