id,state,Brand
01,Alabama,B
02,Alaska,B
04,Arizona,B
05,Arkansas,B
06,California,B
08,Colorado,B
09,Connecticut,B
10,Delaware,B
11,Florida,B
12,Georgia,B
13,Hawaii,B
16,Idaho,C
17,Illinois,A
18,Indiana,C
19,Iowa,B
20,Kansas,A
21,Kentucky,A
22,Louisiana,C
23,Maine,C
24,Maryland,B
25,Massachusetts,B
26,Michigan,B
27,Minnesota,C
28,Mississippi,C
29,Missouri,A
30,Montana,C
31,Nebraska,C
32,Nevada,B
33,New Hampshire,A
34,New Jersey,B
35,New Mexico,C
36,New York,A
37,North Carolina,B
38,North Dakota,C
39,Ohio,B
40,Oklahoma,C
41,Oregon,B
42,Pennsylvania,A
44,Rhode Island,C
45,South Carolina,A
46,South Dakota,B
47,Tennessee,C
48,Texas,B
49,Utah,C
50,Vermont,A
51,Virginia,B
53,Washington,B
54,West Virginia,B
55,Wisconsin,A
56,Wyoming,C
