id,state,Brand
01,Alabama,C
02,Alaska,C
04,Arizona,C
05,Arkansas,C
06,California,C
08,Colorado,C
09,Connecticut,C
10,Delaware,C
11,Florida,C
12,Georgia,C
13,Hawaii,C
16,Idaho,B
17,Illinois,A
18,Indiana,A
19,Iowa,A
20,Kansas,A
21,Kentucky,C
22,Louisiana,A
23,Maine,A
24,Maryland,A
25,Massachusetts,A
26,Michigan,C
27,Minnesota,C
28,Mississippi,A
29,Missouri,C
30,Montana,A
31,Nebraska,A
32,Nevada,B
33,New Hampshire,C
34,New Jersey,A
35,New Mexico,B
36,New York,B
37,North Carolina,C
38,North Dakota,A
39,Ohio,A
40,Oklahoma,A
41,Oregon,C
42,Pennsylvania,C
44,Rhode Island,A
45,South Carolina,C
46,South Dakota,C
47,Tennessee,A
48,Texas,B
49,Utah,B
50,Vermont,C
51,Virginia,C
53,Washington,C
54,West Virginia,C
55,Wisconsin,B
56,Wyoming,B
