id,state,Brand
01,Alabama,C
02,Alaska,C
04,Arizona,C
05,Arkansas,C
06,California,C
08,Colorado,C
09,Connecticut,C
10,Delaware,C
11,Florida,C
12,Georgia,C
13,Hawaii,C
16,Idaho,C
17,Illinois,C
18,Indiana,B
19,Iowa,A
20,Kansas,A
21,Kentucky,A
22,Louisiana,C
23,Maine,B
24,Maryland,C
25,Massachusetts,C
26,Michigan,B
27,Minnesota,B
28,Mississippi,A
29,Missouri,B
30,Montana,B
31,Nebraska,C
32,Nevada,B
33,New Hampshire,A
34,New Jersey,B
35,New Mexico,B
36,New York,A
37,North Carolina,B
38,North Dakota,B
39,Ohio,A
40,Oklahoma,A
41,Oregon,C
42,Pennsylvania,A
44,Rhode Island,C
45,South Carolina,B
46,South Dakota,A
47,Tennessee,C
48,Texas,B
49,Utah,A
50,Vermont,C
51,Virginia,C
53,Washington,C
54,West Virginia,B
55,Wisconsin,C
56,Wyoming,B
