id,state,Brand
01,Alabama,A
02,Alaska,A
04,Arizona,A
05,Arkansas,A
06,California,A
08,Colorado,A
09,Connecticut,A
10,Delaware,A
11,Florida,C
12,Georgia,B
13,Hawaii,C
16,Idaho,A
17,Illinois,C
18,Indiana,A
19,Iowa,A
20,Kansas,A
21,Kentucky,C
22,Louisiana,A
23,Maine,C
24,Maryland,B
25,Massachusetts,A
26,Michigan,B
27,Minnesota,C
28,Mississippi,B
29,Missouri,A
30,Montana,B
31,Nebraska,A
32,Nevada,B
33,New Hampshire,C
34,New Jersey,B
35,New Mexico,A
36,New York,C
37,North Carolina,C
38,North Dakota,C
39,Ohio,C
40,Oklahoma,A
41,Oregon,A
42,Pennsylvania,B
44,Rhode Island,C
45,South Carolina,B
46,South Dakota,A
47,Tennessee,A
48,Texas,B
49,Utah,A
50,Vermont,A
51,Virginia,C
53,Washington,C
54,West Virginia,A
55,Wisconsin,B
56,Wyoming,C
