id,state,Brand
01,Alabama,B
02,Alaska,B
04,Arizona,B
05,Arkansas,B
06,California,B
08,Colorado,B
09,Connecticut,B
10,Delaware,B
11,Florida,A
12,Georgia,A
13,Hawaii,B
16,Idaho,C
17,Illinois,A
18,Indiana,C
19,Iowa,A
20,Kansas,B
21,Kentucky,A
22,Louisiana,C
23,Maine,A
24,Maryland,B
25,Massachusetts,B
26,Michigan,B
27,Minnesota,C
28,Mississippi,B
29,Missouri,B
30,Montana,B
31,Nebraska,A
32,Nevada,C
33,New Hampshire,A
34,New Jersey,B
35,New Mexico,B
36,New York,B
37,North Carolina,A
38,North Dakota,A
39,Ohio,B
40,Oklahoma,A
41,Oregon,B
42,Pennsylvania,B
44,Rhode Island,C
45,South Carolina,B
46,South Dakota,B
47,Tennessee,A
48,Texas,B
49,Utah,A
50,Vermont,B
51,Virginia,B
53,Washington,B
54,West Virginia,B
55,Wisconsin,C
56,Wyoming,B
