id,state,Brand
01,Alabama,B
02,Alaska,B
04,Arizona,B
05,Arkansas,B
06,California,B
08,Colorado,B
09,Connecticut,B
10,Delaware,B
11,Florida,B
12,Georgia,B
13,Hawaii,B
16,Idaho,C
17,Illinois,A
18,Indiana,C
19,Iowa,B
20,Kansas,B
21,Kentucky,A
22,Louisiana,C
23,Maine,C
24,Maryland,A
25,Massachusetts,B
26,Michigan,C
27,Minnesota,C
28,Mississippi,B
29,Missouri,A
30,Montana,A
31,Nebraska,A
32,Nevada,B
33,New Hampshire,B
34,New Jersey,A
35,New Mexico,C
36,New York,C
37,North Carolina,C
38,North Dakota,B
39,Ohio,C
40,Oklahoma,C
41,Oregon,C
42,Pennsylvania,A
44,Rhode Island,B
45,South Carolina,A
46,South Dakota,A
47,Tennessee,B
48,Texas,B
49,Utah,C
50,Vermont,C
51,Virginia,B
53,Washington,B
54,West Virginia,A
55,Wisconsin,B
56,Wyoming,B
