id,state,Brand
01,Alabama,A
02,Alaska,A
04,Arizona,A
05,Arkansas,A
06,California,A
08,Colorado,A
09,Connecticut,A
10,Delaware,A
11,Florida,A
12,Georgia,A
13,Hawaii,A
16,Idaho,A
17,Illinois,A
18,Indiana,A
19,Iowa,A
20,Kansas,B
21,Kentucky,B
22,Louisiana,A
23,Maine,A
24,Maryland,B
25,Massachusetts,C
26,Michigan,C
27,Minnesota,A
28,Mississippi,C
29,Missouri,C
30,Montana,A
31,Nebraska,B
32,Nevada,C
33,New Hampshire,A
34,New Jersey,A
35,New Mexico,C
36,New York,C
37,North Carolina,A
38,North Dakota,C
39,Ohio,B
40,Oklahoma,B
41,Oregon,C
42,Pennsylvania,A
44,Rhode Island,A
45,South Carolina,C
46,South Dakota,C
47,Tennessee,C
48,Texas,A
49,Utah,C
50,Vermont,B
51,Virginia,A
53,Washington,A
54,West Virginia,B
55,Wisconsin,A
56,Wyoming,C
