id,state,Brand
01,Alabama,B
02,Alaska,B
04,Arizona,B
05,Arkansas,B
06,California,B
08,Colorado,B
09,Connecticut,B
10,Delaware,B
11,Florida,B
12,Georgia,B
13,Hawaii,B
16,Idaho,C
17,Illinois,A
18,Indiana,C
19,Iowa,B
20,Kansas,A
21,Kentucky,B
22,Louisiana,B
23,Maine,B
24,Maryland,B
25,Massachusetts,C
26,Michigan,C
27,Minnesota,A
28,Mississippi,B
29,Missouri,A
30,Montana,B
31,Nebraska,B
32,Nevada,A
33,New Hampshire,B
34,New Jersey,A
35,New Mexico,B
36,New York,C
37,North Carolina,B
38,North Dakota,C
39,Ohio,A
40,Oklahoma,C
41,Oregon,B
42,Pennsylvania,A
44,Rhode Island,C
45,South Carolina,C
46,South Dakota,C
47,Tennessee,C
48,Texas,A
49,Utah,A
50,Vermont,C
51,Virginia,A
53,Washington,C
54,West Virginia,A
55,Wisconsin,A
56,Wyoming,A
