id,state,Brand
01,Alabama,A
02,Alaska,A
04,Arizona,A
05,Arkansas,A
06,California,A
08,Colorado,A
09,Connecticut,A
10,Delaware,C
11,Florida,A
12,Georgia,A
13,Hawaii,C
16,Idaho,C
17,Illinois,B
18,Indiana,B
19,Iowa,B
20,Kansas,B
21,Kentucky,C
22,Louisiana,B
23,Maine,B
24,Maryland,B
25,Massachusetts,A
26,Michigan,B
27,Minnesota,B
28,Mississippi,A
29,Missouri,C
30,Montana,C
31,Nebraska,B
32,Nevada,A
33,New Hampshire,A
34,New Jersey,B
35,New Mexico,A
36,New York,B
37,North Carolina,A
38,North Dakota,B
39,Ohio,C
40,Oklahoma,B
41,Oregon,A
42,Pennsylvania,A
44,Rhode Island,A
45,South Carolina,C
46,South Dakota,A
47,Tennessee,B
48,Texas,A
49,Utah,C
50,Vermont,A
51,Virginia,A
53,Washington,A
54,West Virginia,A
55,Wisconsin,C
56,Wyoming,B
