id,state,Brand
01,Alabama,A
02,Alaska,A
04,Arizona,A
05,Arkansas,A
06,California,A
08,Colorado,A
09,Connecticut,A
10,Delaware,A
11,Florida,B
12,Georgia,A
13,Hawaii,A
16,Idaho,A
17,Illinois,C
18,Indiana,C
19,Iowa,C
20,Kansas,A
21,Kentucky,C
22,Louisiana,A
23,Maine,B
24,Maryland,A
25,Massachusetts,B
26,Michigan,B
27,Minnesota,C
28,Mississippi,C
29,Missouri,B
30,Montana,B
31,Nebraska,A
32,Nevada,A
33,New Hampshire,A
34,New Jersey,A
35,New Mexico,B
36,New York,A
37,North Carolina,B
38,North Dakota,C
39,Ohio,B
40,Oklahoma,B
41,Oregon,A
42,Pennsylvania,B
44,Rhode Island,A
45,South Carolina,C
46,South Dakota,C
47,Tennessee,A
48,Texas,A
49,Utah,C
50,Vermont,B
51,Virginia,C
53,Washington,C
54,West Virginia,B
55,Wisconsin,A
56,Wyoming,A
