id,state,Brand
01,Alabama,C
02,Alaska,C
04,Arizona,C
05,Arkansas,C
06,California,C
08,Colorado,C
09,Connecticut,B
10,Delaware,C
11,Florida,B
12,Georgia,C
13,Hawaii,A
16,Idaho,C
17,Illinois,B
18,Indiana,A
19,Iowa,C
20,Kansas,C
21,Kentucky,B
22,Louisiana,C
23,Maine,C
24,Maryland,C
25,Massachusetts,A
26,Michigan,B
27,Minnesota,A
28,Mississippi,C
29,Missouri,C
30,Montana,A
31,Nebraska,A
32,Nevada,B
33,New Hampshire,C
34,New Jersey,C
35,New Mexico,C
36,New York,B
37,North Carolina,B
38,North Dakota,B
39,Ohio,A
40,Oklahoma,B
41,Oregon,A
42,Pennsylvania,C
44,Rhode Island,A
45,South Carolina,B
46,South Dakota,A
47,Tennessee,C
48,Texas,B
49,Utah,C
50,Vermont,B
51,Virginia,A
53,Washington,C
54,West Virginia,C
55,Wisconsin,A
56,Wyoming,B
