id,state,Brand
01,Alabama,C
02,Alaska,C
04,Arizona,C
05,Arkansas,C
06,California,C
08,Colorado,C
09,Connecticut,C
10,Delaware,B
11,Florida,A
12,Georgia,C
13,Hawaii,B
16,Idaho,A
17,Illinois,B
18,Indiana,B
19,Iowa,C
20,Kansas,C
21,Kentucky,B
22,Louisiana,C
23,Maine,A
24,Maryland,A
25,Massachusetts,A
26,Michigan,B
27,Minnesota,B
28,Mississippi,B
29,Missouri,C
30,Montana,A
31,Nebraska,A
32,Nevada,C
33,New Hampshire,C
34,New Jersey,A
35,New Mexico,A
36,New York,C
37,North Carolina,A
38,North Dakota,C
39,Ohio,C
40,Oklahoma,B
41,Oregon,C
42,Pennsylvania,C
44,Rhode Island,B
45,South Carolina,C
46,South Dakota,B
47,Tennessee,C
48,Texas,B
49,Utah,B
50,Vermont,C
51,Virginia,C
53,Washington,B
54,West Virginia,C
55,Wisconsin,C
56,Wyoming,A
