id,state,Brand
01,Alabama,C
02,Alaska,C
04,Arizona,C
05,Arkansas,C
06,California,C
08,Colorado,C
09,Connecticut,C
10,Delaware,A
11,Florida,C
12,Georgia,B
13,Hawaii,A
16,Idaho,B
17,Illinois,C
18,Indiana,A
19,Iowa,B
20,Kansas,C
21,Kentucky,B
22,Louisiana,B
23,Maine,C
24,Maryland,A
25,Massachusetts,C
26,Michigan,C
27,Minnesota,B
28,Mississippi,A
29,Missouri,A
30,Montana,A
31,Nebraska,B
32,Nevada,C
33,New Hampshire,B
34,New Jersey,C
35,New Mexico,A
36,New York,C
37,North Carolina,B
38,North Dakota,C
39,Ohio,B
40,Oklahoma,C
41,Oregon,B
42,Pennsylvania,C
44,Rhode Island,A
45,South Carolina,B
46,South Dakota,C
47,Tennessee,C
48,Texas,A
49,Utah,B
50,Vermont,C
51,Virginia,A
53,Washington,C
54,West Virginia,A
55,Wisconsin,C
56,Wyoming,C
