id,state,Brand
01,Alabama,C
02,Alaska,C
04,Arizona,C
05,Arkansas,C
06,California,C
08,Colorado,C
09,Connecticut,C
10,Delaware,C
11,Florida,C
12,Georgia,C
13,Hawaii,A
16,Idaho,B
17,Illinois,B
18,Indiana,C
19,Iowa,C
20,Kansas,B
21,Kentucky,A
22,Louisiana,A
23,Maine,B
24,Maryland,B
25,Massachusetts,C
26,Michigan,C
27,Minnesota,A
28,Mississippi,A
29,Missouri,B
30,Montana,B
31,Nebraska,A
32,Nevada,B
33,New Hampshire,C
34,New Jersey,A
35,New Mexico,A
36,New York,A
37,North Carolina,B
38,North Dakota,B
39,Ohio,B
40,Oklahoma,C
41,Oregon,C
42,Pennsylvania,A
44,Rhode Island,A
45,South Carolina,C
46,South Dakota,C
47,Tennessee,C
48,Texas,C
49,Utah,B
50,Vermont,A
51,Virginia,C
53,Washington,B
54,West Virginia,C
55,Wisconsin,C
56,Wyoming,B
