id,state,Brand
01,Alabama,B
02,Alaska,B
04,Arizona,B
05,Arkansas,B
06,California,B
08,Colorado,B
09,Connecticut,B
10,Delaware,A
11,Florida,A
12,Georgia,B
13,Hawaii,A
16,Idaho,B
17,Illinois,C
18,Indiana,B
19,Iowa,B
20,Kansas,A
21,Kentucky,B
22,Louisiana,B
23,Maine,B
24,Maryland,B
25,Massachusetts,B
26,Michigan,A
27,Minnesota,C
28,Mississippi,C
29,Missouri,B
30,Montana,B
31,Nebraska,C
32,Nevada,A
33,New Hampshire,A
34,New Jersey,A
35,New Mexico,A
36,New York,B
37,North Carolina,B
38,North Dakota,B
39,Ohio,B
40,Oklahoma,B
41,Oregon,C
42,Pennsylvania,B
44,Rhode Island,C
45,South Carolina,A
46,South Dakota,A
47,Tennessee,A
48,Texas,C
49,Utah,B
50,Vermont,A
51,Virginia,B
53,Washington,C
54,West Virginia,C
55,Wisconsin,C
56,Wyoming,C
