id,state,Brand
01,Alabama,B
02,Alaska,B
04,Arizona,B
05,Arkansas,B
06,California,B
08,Colorado,B
09,Connecticut,B
10,Delaware,B
11,Florida,A
12,Georgia,B
13,Hawaii,C
16,Idaho,B
17,Illinois,B
18,Indiana,B
19,Iowa,A
20,Kansas,A
21,Kentucky,C
22,Louisiana,C
23,Maine,C
24,Maryland,A
25,Massachusetts,C
26,Michigan,C
27,Minnesota,B
28,Mississippi,A
29,Missouri,C
30,Montana,C
31,Nebraska,C
32,Nevada,B
33,New Hampshire,C
34,New Jersey,C
35,New Mexico,B
36,New York,B
37,North Carolina,C
38,North Dakota,B
39,Ohio,B
40,Oklahoma,B
41,Oregon,B
42,Pennsylvania,A
44,Rhode Island,A
45,South Carolina,C
46,South Dakota,B
47,Tennessee,B
48,Texas,B
49,Utah,C
50,Vermont,A
51,Virginia,B
53,Washington,C
54,West Virginia,A
55,Wisconsin,A
56,Wyoming,A
