id,state,Brand
01,Alabama,B
02,Alaska,B
04,Arizona,B
05,Arkansas,B
06,California,B
08,Colorado,B
09,Connecticut,B
10,Delaware,B
11,Florida,B
12,Georgia,B
13,Hawaii,B
16,Idaho,A
17,Illinois,C
18,Indiana,B
19,Iowa,B
20,Kansas,C
21,Kentucky,A
22,Louisiana,B
23,Maine,A
24,Maryland,B
25,Massachusetts,A
26,Michigan,A
27,Minnesota,A
28,Mississippi,B
29,Missouri,C
30,Montana,B
31,Nebraska,B
32,Nevada,C
33,New Hampshire,C
34,New Jersey,C
35,New Mexico,C
36,New York,A
37,North Carolina,C
38,North Dakota,B
39,Ohio,C
40,Oklahoma,B
41,Oregon,B
42,Pennsylvania,A
44,Rhode Island,A
45,South Carolina,C
46,South Dakota,C
47,Tennessee,B
48,Texas,B
49,Utah,B
50,Vermont,A
51,Virginia,A
53,Washington,A
54,West Virginia,B
55,Wisconsin,C
56,Wyoming,C
