id,state,Brand
01,Alabama,A
02,Alaska,A
04,Arizona,A
05,Arkansas,A
06,California,A
08,Colorado,A
09,Connecticut,A
10,Delaware,A
11,Florida,A
12,Georgia,B
13,Hawaii,B
16,Idaho,A
17,Illinois,B
18,Indiana,A
19,Iowa,C
20,Kansas,C
21,Kentucky,A
22,Louisiana,A
23,Maine,A
24,Maryland,A
25,Massachusetts,C
26,Michigan,B
27,Minnesota,C
28,Mississippi,B
29,Missouri,B
30,Montana,B
31,Nebraska,C
32,Nevada,C
33,New Hampshire,C
34,New Jersey,A
35,New Mexico,A
36,New York,A
37,North Carolina,C
38,North Dakota,A
39,Ohio,C
40,Oklahoma,A
41,Oregon,A
42,Pennsylvania,C
44,Rhode Island,C
45,South Carolina,B
46,South Dakota,A
47,Tennessee,C
48,Texas,C
49,Utah,A
50,Vermont,B
51,Virginia,A
53,Washington,B
54,West Virginia,B
55,Wisconsin,A
56,Wyoming,C
