id,state,Brand
01,Alabama,C
02,Alaska,C
04,Arizona,C
05,Arkansas,C
06,California,C
08,Colorado,C
09,Connecticut,C
10,Delaware,C
11,Florida,C
12,Georgia,C
13,Hawaii,C
16,Idaho,C
17,Illinois,A
18,Indiana,A
19,Iowa,C
20,Kansas,C
21,Kentucky,C
22,Louisiana,B
23,Maine,B
24,Maryland,A
25,Massachusetts,B
26,Michigan,B
27,Minnesota,B
28,Mississippi,C
29,Missouri,A
30,Montana,A
31,Nebraska,C
32,Nevada,A
33,New Hampshire,A
34,New Jersey,B
35,New Mexico,C
36,New York,B
37,North Carolina,A
38,North Dakota,C
39,Ohio,C
40,Oklahoma,B
41,Oregon,B
42,Pennsylvania,B
44,Rhode Island,C
45,South Carolina,C
46,South Dakota,A
47,Tennessee,C
48,Texas,A
49,Utah,C
50,Vermont,A
51,Virginia,C
53,Washington,A
54,West Virginia,B
55,Wisconsin,B
56,Wyoming,A
