id,state,Brand
01,Alabama,B
02,Alaska,B
04,Arizona,B
05,Arkansas,B
06,California,B
08,Colorado,B
09,Connecticut,B
10,Delaware,B
11,Florida,A
12,Georgia,B
13,Hawaii,A
16,Idaho,A
17,Illinois,B
18,Indiana,C
19,Iowa,B
20,Kansas,C
21,Kentucky,B
22,Louisiana,B
23,Maine,A
24,Maryland,C
25,Massachusetts,B
26,Michigan,B
27,Minnesota,B
28,Mississippi,B
29,Missouri,C
30,Montana,B
31,Nebraska,A
32,Nevada,B
33,New Hampshire,C
34,New Jersey,A
35,New Mexico,C
36,New York,A
37,North Carolina,B
38,North Dakota,B
39,Ohio,B
40,Oklahoma,C
41,Oregon,C
42,Pennsylvania,C
44,Rhode Island,C
45,South Carolina,A
46,South Dakota,A
47,Tennessee,B
48,Texas,B
49,Utah,B
50,Vermont,A
51,Virginia,A
53,Washington,C
54,West Virginia,C
55,Wisconsin,A
56,Wyoming,A
