id,state,Brand
01,Alabama,A
02,Alaska,A
04,Arizona,A
05,Arkansas,A
06,California,A
08,Colorado,A
09,Connecticut,A
10,Delaware,A
11,Florida,A
12,Georgia,A
13,Hawaii,A
16,Idaho,A
17,Illinois,A
18,Indiana,B
19,Iowa,A
20,Kansas,A
21,Kentucky,A
22,Louisiana,A
23,Maine,B
24,Maryland,B
25,Massachusetts,A
26,Michigan,B
27,Minnesota,A
28,Mississippi,C
29,Missouri,B
30,Montana,C
31,Nebraska,B
32,Nevada,A
33,New Hampshire,C
34,New Jersey,B
35,New Mexico,A
36,New York,C
37,North Carolina,A
38,North Dakota,C
39,Ohio,B
40,Oklahoma,A
41,Oregon,B
42,Pennsylvania,C
44,Rhode Island,B
45,South Carolina,B
46,South Dakota,C
47,Tennessee,C
48,Texas,C
49,Utah,A
50,Vermont,B
51,Virginia,C
53,Washington,C
54,West Virginia,C
55,Wisconsin,A
56,Wyoming,B
