sunlight_inverted,growth_inverted
31.42,51.93
38.02,51.97
83.75,0.84
43.04,34.55
50.07,46.85
37.56,38.36
38.96,38.49
92.44,10.17
99.05,3.01
84.65,19.38
15.12,58.24
47.06,37.03
23.73,45.84
31.74,43.39
87.81,14.57
89.01,13.92
77.14,24.04
10.01,64.82
28.5,35.85
15.39,60.82
41.26,57.1
73.96,15.11
78.32,19.21
93.6,0
27.66,56.46
46.93,34.81
47.56,22.71
73.04,13.85
64.52,23.85
61.46,32.03
20.27,63.21
33.98,48.86
48.53,50.24
93.1,7.11
45.95,36.45
2.9,73.83
44.89,36.1
41.94,32.71
94.83,0
85.61,0
1.9,71.83
42.07,51.63
93.87,9.9
7.66,67.43
78.29,28.27
71.38,3.76
70.11,4.99
83.95,8.46
90.72,2.5
46.29,40.34
54.7,29.59
18.32,54.36
55.25,35.27
8.95,68.49
64.18,22.33
93.67,0
93.0,6.17
52.27,49.01
4.35,62.85
0.91,60.7
35.9,37.97
3.53,69.06
93.06,8.12
23.05,53.52
24.63,69.36
19.96,66.09
66.42,13.02
42.11,44.7
42.1,56.42
23.16,48.54
97.78,0
90.97,7.27
49.66,52.77
47.93,38.39
52.81,32.55
37.93,36.69
58.13,33.67
19.1,66.03
