training_hours_inverted,productivity_inverted
16.1,32.9
28.28,12.85
58.87,49.27
1.84,42.95
32.03,21.46
87.64,65.38
30.43,59.3
95.77,38.87
97.26,36.51
77.41,38.16
52.11,19.8
39.09,33.66
13.8,56.54
80.74,38.98
64.64,44.19
34.31,53.46
19.56,39.46
6.66,47.63
23.18,41.13
18.42,52.97
60.81,58.28
30.58,50.46
45.7,52.21
23.33,26.83
65.37,42.92
26.58,28.66
50.65,46.94
27.1,53.99
53.61,44.69
22.8,27.73
10.33,21.71
69.74,8.46
29.37,3.32
61.41,28.98
71.61,56.53
88.25,23.43
75.27,26.59
9.29,34.19
6.73,0
11.48,24.16
57.54,10.9
66.98,25.6
39.02,31.49
75.83,17.78
71.44,10.33
73.94,44.95
46.76,32.46
97.02,21.34
42.8,63.9
93.33,32.89
1.61,35.12
27.19,24.28
50.17,35.67
86.16,23.84
87.61,45.14
40.99,36.85
86.26,34.72
25.99,58.38
34.62,67.07
37.1,68.17
71.99,54.33
1.41,32.52
86.11,13.53
86.78,18.07
99.26,44.61
43.07,47.11
99.45,43.17
30.53,4.91
66.09,44.0
