ad_spend_inverted,sales_inverted
53.5,39.42
71.42,35.26
76.34,61.27
32.14,21.76
79.37,58.65
13.17,7.01
8.4,4.07
21.91,15.04
1.61,0
5.47,6.53
86.29,61.35
25.4,29.18
30.17,18.33
3.21,6.49
22.78,12.16
41.03,31.59
5.91,10.01
73.54,39.34
20.62,9.49
78.79,57.66
14.65,14.08
99.46,74.15
19.26,9.0
13.77,19.39
2.79,0
77.25,48.04
52.27,37.14
22.11,21.34
5.74,14.88
20.11,8.08
41.05,26.05
75.5,53.88
17.73,13.55
49.86,30.01
52.03,40.02
29.78,16.52
93.67,64.97
94.53,60.18
44.8,36.29
25.48,13.66
82.39,63.99
48.91,37.98
76.85,34.99
85.38,59.68
51.58,27.33
83.25,45.65
63.9,44.53
51.23,39.21
69.09,41.75
83.93,50.36
39.07,28.08
16.77,9.93
