study_hours_inverted,score_inverted
18.2,6.54
70.99,52.45
24.81,28.45
82.79,40.73
47.27,28.63
38.47,29.11
73.05,39.25
93.95,53.25
88.73,68.22
70.21,55.99
89.85,60.99
10.67,15.79
20.58,6.9
26.3,24.69
87.18,52.73
8.27,0
71.1,52.56
41.4,18.24
35.64,23.65
63.94,49.61
97.57,72.67
18.03,6.62
24.63,15.31
44.15,25.37
27.69,13.84
92.86,62.46
7.66,10.16
93.32,67.46
10.88,12.09
7.31,0.57
87.02,58.0
6.95,0
43.82,23.41
38.35,28.67
4.6,10.77
48.62,33.26
44.63,37.99
27.15,38.41
84.98,45.22
38.63,25.92
10.22,12.72
5.67,0
37.56,23.68
81.29,45.07
97.74,61.09
61.71,49.4
96.56,79.04
48.41,35.37
22.3,16.99
85.86,56.96
63.83,50.3
24.18,8.41
45.44,34.12
54.72,30.5
52.72,45.31
5.2,4.2
4.32,8.4
