ad_spend_inverted,sales_inverted
70.58,20.82
15.88,5.16
28.19,51.93
32.28,69.64
25.78,51.25
79.92,61.4
92.28,30.75
88.74,47.03
15.36,20.91
81.4,42.58
92.17,7.54
2.62,57.57
77.77,42.3
17.52,42.65
89.55,21.82
58.92,30.92
37.91,7.74
5.8,58.05
16.02,43.5
24.31,67.12
42.81,33.81
46.75,27.62
1.71,26.16
58.25,35.89
81.63,49.43
87.07,13.11
9.09,14.83
87.39,63.75
33.0,30.7
26.42,32.22
3.95,32.22
49.65,9.22
43.83,45.93
2.41,55.81
6.69,38.1
35.5,50.66
19.27,10.67
39.93,61.88
30.33,35.32
79.09,16.23
4.25,27.36
95.76,42.05
59.63,48.15
61.63,11.19
82.46,63.61
89.18,14.51
82.14,63.3
68.94,45.67
97.59,23.75
11.57,14.47
8.18,38.21
47.4,34.08
47.35,40.45
75.7,58.7
82.65,37.48
76.07,24.32
40.73,24.21
55.17,62.04
1.64,28.93
64.38,46.19
28.41,40.78
38.07,43.4
92.36,31.19
50.78,41.98
2.75,55.54
32.27,42.74
8.16,8.2
33.17,36.93
52.52,8.83
98.64,17.49
7.12,67.23
96.56,27.69
35.45,41.24
86.22,44.04
5.58,24.76
