ad_spend_inverted,sales_inverted
94.19,40.74
72.0,29.68
37.45,47.69
81.85,39.52
39.78,49.74
59.05,40.5
57.42,15.0
37.3,70.8
25.65,16.72
1.78,50.58
1.04,43.78
89.45,60.63
91.36,45.24
23.12,27.6
49.75,16.53
84.56,50.58
64.73,35.57
97.38,27.55
51.47,64.0
15.76,4.81
57.94,35.56
92.21,21.7
29.36,12.08
7.62,50.14
23.76,0
68.87,16.84
28.12,34.88
53.96,22.37
46.61,16.51
33.73,41.13
51.12,1.92
29.42,50.29
63.6,11.12
79.91,31.2
85.22,39.37
22.69,48.83
63.85,28.28
12.82,17.53
33.69,52.13
81.51,26.12
18.95,20.21
