ad_spend_inverted,sales_inverted
94.58,85.86
11.94,10.09
1.21,0
40.22,37.96
17.53,10.21
2.44,13.16
78.34,64.79
58.91,38.77
9.16,4.13
11.79,22.35
8.88,14.43
22.33,2.42
93.19,64.82
88.88,59.34
56.8,34.19
44.77,30.92
7.88,10.79
66.15,41.04
30.25,16.49
47.29,22.67
6.31,0
39.37,26.38
97.95,70.79
99.96,62.44
94.73,57.36
45.28,31.55
53.75,46.75
97.76,63.82
44.96,35.66
77.0,58.48
54.61,45.22
3.98,4.15
18.74,24.32
95.44,71.25
20.09,18.4
54.25,18.68
57.86,41.62
12.99,10.94
36.51,18.54
0.41,0
68.99,47.44
2.76,26.39
26.98,17.1
37.32,22.53
85.16,75.52
97.63,74.95
95.54,69.0
2.18,3.62
28.61,16.01
70.55,32.46
90.34,57.54
56.01,44.7
75.9,47.83
64.82,50.93
19.81,24.89
3.67,4.42
9.03,4.65
23.06,8.7
99.44,65.59
59.12,38.49
