ad_spend_inverted,sales_inverted
3.89,23.36
87.21,50.03
81.4,51.12
87.33,23.58
52.66,13.12
92.3,14.85
76.76,56.84
31.42,7.31
30.0,23.5
69.35,45.42
73.91,6.3
59.66,34.79
74.56,21.01
76.71,30.32
44.04,48.43
12.95,7.36
47.17,61.17
55.38,44.33
96.03,0
16.44,8.95
60.95,54.76
99.94,46.21
48.65,9.58
58.05,0
6.71,21.92
46.58,16.6
74.32,60.48
67.01,39.96
59.17,42.5
74.17,13.25
62.85,17.75
34.05,9.08
67.9,16.4
50.06,39.6
38.88,49.48
24.42,28.54
56.47,13.68
9.05,33.08
27.75,0
93.09,40.33
62.09,51.58
56.77,50.61
31.9,42.97
21.38,49.39
78.06,58.47
93.83,7.9
95.19,28.28
48.58,0
60.01,43.59
8.32,34.81
73.72,27.47
66.08,30.75
91.22,17.07
45.06,5.71
38.92,36.1
