ad_spend_inverted,sales_inverted
83.91,61.61
12.71,3.23
87.05,59.68
15.02,9.46
95.93,58.96
16.85,2.77
3.75,6.59
3.08,0
35.48,2.39
75.38,45.9
30.3,20.8
62.95,38.57
58.55,39.48
52.01,37.6
18.96,14.15
67.33,54.24
14.94,6.72
12.7,12.65
1.6,0
43.28,45.41
50.81,35.02
13.12,15.53
38.94,41.66
85.86,53.79
94.71,60.35
35.08,30.85
63.01,37.68
20.34,12.87
15.7,0
15.81,13.62
54.55,36.72
49.86,46.89
51.96,42.68
8.11,16.11
47.07,37.93
65.39,55.0
82.17,48.01
41.53,43.94
22.0,26.47
84.09,71.19
49.34,21.74
51.33,40.37
5.58,0
96.34,51.84
27.72,18.27
76.57,47.49
52.83,33.69
50.93,40.3
