sunlight_inverted,growth_inverted
58.73,17.39
17.31,42.16
72.63,18.33
11.66,65.09
20.4,28.73
54.12,7.21
86.62,34.67
92.24,40.86
52.34,49.24
83.4,42.61
98.11,37.23
23.96,60.24
93.0,24.77
0.63,43.08
82.5,66.1
6.27,43.39
97.36,44.9
88.97,49.79
25.48,46.23
28.65,16.02
10.83,28.21
10.6,40.49
98.92,22.73
51.06,33.11
54.44,43.76
83.81,24.9
52.66,36.36
42.44,20.45
55.63,18.06
2.53,15.5
6.97,2.12
64.49,44.68
49.77,63.0
11.56,19.03
92.36,53.32
97.06,40.26
51.4,30.41
71.93,0
50.28,68.32
20.6,30.07
41.05,61.46
67.68,38.7
56.47,41.77
33.36,36.38
28.72,11.18
