ad_spend_inverted,sales_inverted
44.9,27.61
94.98,4.04
37.4,19.23
99.16,0
8.69,64.32
23.65,52.03
48.3,29.78
5.88,66.55
95.49,0
10.49,82.4
45.47,41.01
12.01,54.0
36.45,53.69
12.02,64.04
93.68,12.88
71.2,20.42
83.56,20.8
41.87,38.84
73.1,23.32
88.87,12.31
48.05,30.01
62.25,28.65
21.9,51.8
30.8,55.52
90.3,0
13.25,54.51
45.4,30.25
50.23,49.31
43.83,38.41
0.36,63.73
88.76,14.79
20.76,69.31
89.61,11.99
92.64,14.07
32.26,32.61
66.75,13.26
38.79,36.11
71.26,37.35
63.5,19.89
99.72,0.74
36.22,52.02
99.96,11.41
