ad_spend_inverted,sales_inverted
16.21,10.21
50.64,38.24
76.32,46.74
98.25,72.65
50.73,34.21
6.14,7.42
65.85,44.01
27.83,27.19
51.26,29.29
5.59,6.68
31.95,22.43
3.63,5.33
8.45,19.03
58.94,51.05
43.52,29.82
19.65,11.58
51.64,32.68
9.01,6.23
67.86,58.73
79.73,48.67
42.03,23.81
52.83,34.46
61.61,41.95
86.86,66.55
99.8,59.92
99.26,70.92
92.84,64.74
21.93,13.73
58.68,44.27
21.15,13.77
1.25,0
93.34,73.95
23.07,17.95
94.66,66.88
24.84,18.64
69.46,60.39
88.6,51.71
14.03,19.62
46.83,34.87
41.05,32.72
78.7,60.46
71.58,38.8
83.66,73.6
70.85,46.84
15.68,0.7
85.68,41.4
