training_hours_inverted,productivity_inverted
27.2,38.99
94.52,0
42.64,52.82
44.34,45.28
23.81,59.9
23.58,63.89
80.11,8.41
1.65,68.45
31.6,46.99
27.46,38.02
0.74,62.37
34.95,54.77
13.87,55.72
80.19,12.33
57.83,41.21
24.5,47.21
85.55,21.41
22.97,47.21
34.55,56.79
72.84,28.74
89.91,9.56
78.69,11.07
58.59,39.71
69.42,44.4
42.45,31.92
1.9,71.17
69.35,13.83
35.63,33.19
62.44,34.39
34.81,35.55
6.22,70.69
35.57,52.97
39.15,31.64
34.98,51.45
38.51,47.01
15.83,47.18
29.51,38.1
40.56,30.63
24.61,55.62
85.9,9.81
36.86,34.86
72.16,9.31
33.11,39.59
90.92,6.17
39.83,46.21
63.31,15.42
52.31,42.31
65.6,23.51
72.29,17.73
