sunlight_inverted,growth_inverted
160,410
159,420
158,430
157,410
156,440
155,430
154,450
153,440
152,460
151,450
150,470
149,460
148,480
147,470
146,490
145,480
144,500
143,490
142,510
141,450
140,520
139,470
138,530
137,460
136,550
135,480
134,540
133,510
132,550
131,490
130,570
129,500
128,580
127,510
126,590
125,530
124,570
123,550
122,590
121,500
120,610
119,530
118,610
117,550
116,630
115,570
114,610
113,600
112,630
111,580
110,640
109,610
108,670
107,590
106,650
105,610
104,670
103,640
102,680
101,630
100,690
99,650
98,690
97,650
96,710
95,670
94,690
93,710
92,670
91,700
90,710
89,680
88,730
87,690
86,710
85,750
84,730
83,700
82,710
81,690
80,770
79,710
78,730
77,740
76,700
75,780
74,710
73,750
72,740
71,720
70,810
69,730
68,780
67,750
66,760
65,820
64,770
63,740
62,810
61,780
60,790
59,750
58,810
57,780
56,820
55,770
54,800
53,810
52,860
51,820
50,830
49,800
48,870
47,810
46,860
45,820
44,870
43,850
42,870
41,900
40,830
39,860
38,840
37,865
36,890
35,850
34,890
33,870
32,910
31,850
30,870
29,890
28,915
27,875
26,930
25,890
24,905
23,915
22,880
21,900
20,920
19,940
18,910
17,930
16,935
15,925
14,940
13,920
12,930
158,410
155,470
152,430
150,490
148,450
145,510
143,470
140,530
138,490
135,550
132,510
130,570
128,530
125,590
123,550
120,610
118,570
115,630
112,590
110,650
108,610
105,670
102,630
100,690
98,650
95,710
92,670
90,730
88,690
85,750
82,710
80,770
78,730
75,780
72,750
70,810
67,770
65,820
62,790
60,830
57,850
55,800
52,860
50,810
48,870
45,820
42,890
40,830
38,865
37,890
35,850
32,910
30,870
29,890
27,915
25,880
22,920
20,900
18,940
16,910
14,935
12,930
