study_hours_inverted,score_inverted
37.95,41.21
34.65,53.75
52.19,20.46
86.77,2.3
59.98,26.96
54.09,38.1
28.58,47.05
98.97,0
54.08,33.73
52.65,34.67
11.14,60.78
95.74,6.8
14.04,43.56
70.64,17.12
48.06,40.68
19.89,52.12
31.18,58.77
8.66,71.09
17.78,60.54
32.02,53.85
31.03,50.31
40.78,45.69
75.71,2.36
76.32,6.46
69.09,19.65
44.06,43.2
92.65,5.81
85.11,23.55
23.87,55.17
48.11,47.08
84.08,7.85
75.37,33.24
34.52,50.7
14.79,52.53
41.93,39.19
31.25,54.01
40.56,31.35
1.05,64.42
1.97,56.29
83.62,9.32
98.17,7.39
81.71,10.05
35.17,49.96
82.66,0
89.92,19.7
13.63,57.52
60.29,14.3
39.02,49.28
31.04,48.22
87.13,0
79.6,6.12
68.25,20.01
91.15,4.82
45.78,39.01
90.83,11.42
81.89,13.37
36.83,62.51
45.45,44.7
31.93,47.5
18.0,62.59
86.72,2.67
24.62,52.57
84.19,15.5
39.33,32.92
60.12,27.54
27.18,42.73
48.72,34.83
49.94,17.83
45.61,44.77
82.57,15.2
48.27,34.02
24.02,49.29
2.87,68.72
17.39,64.25
45.75,41.82
86.67,3.16
18.17,74.95
