training_hours_inverted,productivity_inverted
11.69,39.91
39.51,37.8
4.27,24.31
14.31,2.59
5.96,47.34
76.98,6.49
56.76,46.11
11.1,53.62
38.74,26.98
27.88,54.56
5.98,42.71
79.98,33.45
54.82,39.03
42.17,2.25
74.69,21.29
97.31,37.29
59.63,40.48
8.72,5.23
66.23,5.96
19.5,35.99
7.52,47.83
50.97,15.95
17.76,38.59
50.99,1.14
30.49,28.2
93.49,89.28
62.48,35.95
16.39,41.34
9.22,38.74
4.7,26.67
4.33,56.59
25.25,9.49
57.06,29.67
84.29,16.77
74.16,42.46
9.55,43.92
58.02,50.88
32.63,28.63
10.58,40.25
49.45,16.25
72.81,44.68
30.98,20.48
1.76,32.96
0.35,54.77
