training_hours_inverted,productivity_inverted
43.4,32.88
42.48,25.98
6.25,10.29
17.45,8.26
50.14,30.11
4.88,1.03
26.46,21.63
28.85,37.89
38.15,23.32
98.77,64.81
68.67,41.85
88.71,76.87
95.02,75.54
79.7,64.71
2.33,15.49
35.73,22.08
31.59,22.05
71.88,51.13
81.17,67.51
72.9,38.02
25.06,18.78
19.35,17.08
31.61,31.04
8.31,0
47.66,41.75
5.92,7.95
92.12,64.51
2.64,19.78
12.65,12.5
61.97,49.42
87.7,48.51
26.18,13.7
46.73,37.1
15.9,15.08
55.05,21.09
56.9,41.79
94.96,62.48
61.29,54.09
81.58,52.86
15.08,5.46
92.96,81.45
86.29,50.69
16.54,4.78
74.37,52.61
89.61,63.96
42.76,25.3
14.33,22.87
9.22,8.21
46.8,17.69
22.7,23.04
91.52,65.72
48.41,23.82
89.7,55.53
97.06,76.76
88.48,55.2
38.06,25.4
64.63,39.9
25.89,19.05
92.49,56.46
46.26,32.25
20.64,4.72
60.18,41.04
47.29,28.3
7.49,0
94.99,65.37
94.65,74.67
82.74,49.94
63.51,26.5
74.36,58.6
69.51,40.51
48.31,36.32
43.56,34.47
87.83,58.58
