ad_spend_inverted,sales_inverted
4.9,0
98.83,56.92
99.12,62.78
0.78,0
32.59,0
18.23,23.9
61.42,49.67
36.42,26.55
20.69,2.32
69.5,49.82
96.53,62.83
31.55,18.87
70.34,46.43
26.43,3.08
65.8,58.92
72.2,64.51
45.18,35.48
2.99,9.53
33.48,4.35
30.65,20.89
47.56,37.29
91.54,60.73
17.15,14.31
13.07,3.09
56.38,52.25
66.29,54.91
75.72,36.82
42.36,26.32
19.54,20.91
19.42,3.03
37.32,22.25
57.92,50.33
3.38,0
61.74,29.24
21.26,0
93.35,65.59
76.67,50.41
17.25,11.08
7.3,4.14
81.3,67.68
68.32,34.52
84.4,69.41
74.52,41.59
56.34,43.54
64.24,41.89
21.28,30.16
7.51,3.1
11.97,16.06
62.54,49.64
40.17,35.99
83.94,59.27
73.8,50.74
66.44,49.95
86.13,57.03
36.99,22.64
