ad_spend_inverted,sales_inverted
1.99,37.67
22.32,54.74
62.91,40.74
17.72,58.33
52.67,55.92
0.4,17.25
89.47,53.97
58.86,16.39
2.7,62.12
35.82,47.17
80.12,36.64
91.73,59.2
65.83,54.19
21.95,21.52
93.08,26.43
23.63,24.03
12.17,42.87
69.63,9.4
67.47,33.48
27.9,30.2
35.73,30.8
36.98,60.9
85.76,14.38
31.43,27.75
64.35,23.71
78.4,11.82
61.55,26.2
90.91,15.63
71.17,49.72
71.48,42.77
41.03,3.41
67.49,33.35
48.41,53.04
59.88,8.35
55.67,47.06
83.87,41.37
59.16,10.18
96.74,51.65
83.32,3.39
81.03,52.14
79.62,29.2
69.12,22.17
1.81,41.54
88.32,37.76
81.41,24.11
28.0,57.65
93.02,59.34
45.77,9.79
51.31,63.64
68.63,70.92
16.45,4.84
25.05,12.8
51.9,32.72
3.57,53.18
60.44,11.71
48.42,57.28
13.88,42.02
49.89,51.88
