ad_spend_inverted,sales_inverted
2.27,7.45
17.12,28.8
66.49,24.93
15.28,10.72
43.46,36.4
74.96,8.79
92.77,81.21
5.51,5.23
12.4,72.73
86.2,34.07
11.27,10.57
66.48,21.31
40.54,26.88
8.56,46.98
87.41,44.18
23.55,35.53
35.79,35.67
0.03,13.48
52.07,15.68
66.61,10.17
4.17,50.24
88.36,42.53
28.36,68.57
26.66,12.96
75.38,23.62
19.37,10.81
47.85,20.9
9.67,32.54
28.99,23.11
38.02,45.99
48.79,46.74
32.4,31.05
63.95,30.55
21.91,9.23
17.81,59.33
48.7,42.82
66.03,58.57
97.95,0
10.26,17.28
59.69,33.0
27.28,12.86
83.79,21.47
94.27,31.53
16.61,28.41
93.81,42.83
43.61,39.51
86.99,9.41
67.93,68.44
33.6,35.36
24.76,19.79
37.47,48.45
83.53,36.98
35.72,10.39
21.92,62.59
90.99,34.2
23.38,28.51
74.95,9.66
94.36,13.87
26.47,9.36
65.33,37.15
78.03,23.1
46.66,60.88
92.55,51.87
33.54,39.28
87.78,28.56
99.51,26.07
59.83,43.49
92.5,13.32
39.31,45.21
0.23,42.16
53.83,12.51
50.38,19.79
3.06,37.79
69.63,35.56
48.01,18.13
23.08,58.17
35.07,21.88
