ad_spend_inverted,sales_inverted
16.12,70.5
72.08,9.86
9.95,80.76
36.49,45.69
81.52,15.29
52.93,36.34
95.2,7.79
5.3,68.34
67.58,20.48
12.46,50.84
46.27,41.39
18.48,54.29
75.44,10.04
76.77,21.84
38.69,44.33
64.32,37.28
91.28,9.24
58.83,42.32
92.91,7.33
65.22,33.03
90.97,1.61
27.18,38.47
84.24,0
50.8,31.98
57.82,31.26
82.34,11.94
10.58,62.13
51.62,38.96
65.39,35.19
97.54,0
94.95,11.11
41.06,48.28
18.52,58.74
52.26,35.74
24.29,46.69
79.26,8.95
70.29,8.73
26.96,53.53
38.08,36.08
4.93,66.72
57.51,22.06
77.32,7.94
33.12,46.7
42.5,51.6
53.31,33.95
59.06,28.61
97.99,0.39
65.06,12.61
3.13,66.64
74.0,17.96
89.7,11.47
79.97,18.0
