sunlight_inverted,growth_inverted
49.97,37.19
57.15,34.87
68.72,41.79
81.6,63.09
50.23,32.16
9.06,0
64.7,45.84
26.29,32.01
15.07,33.94
4.76,1.74
57.73,36.48
49.36,42.24
67.89,43.13
53.27,33.8
42.98,30.18
46.75,40.06
5.49,2.93
7.57,7.94
46.42,15.52
3.72,0
5.4,0.39
16.92,18.5
15.89,0
69.57,38.58
22.97,11.92
33.44,13.98
94.13,68.95
27.57,32.22
62.5,41.54
19.04,12.67
5.11,5.37
42.01,42.38
22.71,22.35
36.87,33.03
91.26,63.12
87.09,81.98
98.44,43.51
4.32,18.1
37.79,24.91
1.19,1.15
81.1,44.49
43.1,34.27
28.25,17.16
13.75,10.14
41.93,22.92
83.02,64.13
59.88,38.61
68.06,66.3
19.09,4.16
46.59,28.8
44.98,33.72
9.39,2.88
99.06,60.29
11.94,16.33
45.94,38.63
5.11,6.36
40.61,24.81
80.78,48.18
83.76,57.65
31.16,6.16
7.16,0
80.17,52.49
17.03,18.07
45.47,36.17
37.13,25.05
94.93,59.44
