sunlight_inverted,growth_inverted
33.52,40.01
64.27,34.61
15.51,31.86
15.62,26.91
95.25,22.42
43.26,11.8
14.28,59.58
62.86,0
26.26,35.08
21.52,54.84
52.83,27.25
37.43,34.75
5.99,6.73
7.82,20.81
81.54,55.71
18.71,31.5
32.18,0.23
66.98,31.53
61.44,60.27
36.61,44.67
90.64,43.07
8.81,35.71
19.45,7.71
54.16,42.99
89.78,2.83
65.41,0
64.39,10.32
27.58,55.21
38.53,29.44
21.71,27.43
83.37,54.64
97.54,27.23
64.48,49.72
24.33,24.02
32.61,47.76
54.82,16.84
72.69,52.08
2.74,15.96
81.46,11.56
93.89,46.17
9.85,41.69
94.08,24.45
33.03,0
88.92,30.38
1.15,38.39
91.36,59.86
47.62,49.82
78.07,37.0
34.92,13.38
61.68,49.57
51.38,34.96
53.72,8.91
15.91,13.66
24.51,13.24
