sunlight_inverted,growth_inverted
12.27,4.71
51.64,35.54
46.31,41.38
17.22,18.31
17.45,14.66
8.51,0.61
20.75,9.02
75.58,56.0
28.11,21.05
38.46,29.45
34.54,7.97
84.98,60.25
30.97,22.62
94.19,65.45
24.28,34.57
68.4,58.58
46.47,16.94
61.99,29.86
67.72,45.14
21.14,9.82
57.91,40.46
46.64,38.45
11.89,10.25
8.37,5.3
86.12,65.99
50.67,35.59
58.27,46.62
11.99,10.85
80.02,57.37
55.24,31.78
2.64,2.81
41.07,32.7
28.91,17.09
70.2,57.83
74.06,38.73
6.52,6.26
5.3,12.88
88.39,69.4
17.19,15.98
14.25,16.56
26.29,23.6
41.68,21.49
14.78,6.16
10.1,4.83
80.94,61.44
89.89,45.36
41.76,30.77
38.0,36.93
1.18,0
67.42,55.04
93.09,72.2
36.81,36.22
57.19,40.27
33.4,29.24
3.08,0
98.0,51.94
