training_hours_inverted,productivity_inverted
39.2,27.95
44.07,23.23
1.39,6.41
4.62,7.19
53.28,40.56
27.08,34.24
70.07,37.62
51.23,32.3
83.61,50.97
39.12,19.74
13.49,16.77
33.41,27.84
99.97,71.35
15.97,9.48
79.9,66.79
51.85,31.37
85.14,63.47
88.6,53.6
8.12,6.66
94.81,86.87
97.73,69.05
73.4,55.25
0.2,4.61
14.32,11.16
63.56,38.44
56.15,42.39
8.6,7.05
9.51,14.07
43.59,48.91
45.83,24.96
89.69,61.15
46.48,44.28
93.28,74.48
69.5,37.32
1.92,0
87.98,63.15
14.2,12.64
99.36,77.41
90.54,68.72
72.78,45.75
37.28,26.94
48.26,27.3
29.08,15.91
55.0,32.3
43.15,32.07
17.8,12.88
79.15,51.64
9.0,5.4
48.66,31.42
66.25,49.75
59.39,23.29
95.35,52.58
30.62,18.21
60.2,43.14
39.85,24.4
13.71,5.79
35.93,24.53
26.19,24.86
47.27,21.48
46.9,29.32
71.62,38.46
26.27,12.93
7.39,15.35
52.43,43.69
38.64,29.84
7.74,4.05
2.62,0
34.63,26.59
