sunlight_inverted,growth_inverted
70.15,51.35
48.02,42.09
31.94,9.22
9.19,10.1
18.53,0
31.6,26.36
10.08,12.04
31.02,16.54
35.92,18.55
58.28,27.35
16.11,4.45
12.86,11.9
44.31,42.9
66.23,52.1
46.26,26.73
69.74,42.05
94.13,72.33
75.55,57.13
29.03,27.94
74.03,57.05
18.11,16.47
27.79,14.71
13.06,11.6
43.62,37.64
15.09,23.79
5.28,5.21
54.98,47.92
22.87,20.75
34.64,30.74
39.17,24.1
47.4,22.16
67.48,36.89
77.48,59.24
48.23,25.01
35.36,16.95
24.22,23.9
19.57,14.21
7.74,0
32.42,19.59
62.11,47.14
39.99,36.39
20.63,12.61
25.77,19.26
53.25,46.47
73.26,59.62
34.26,17.93
68.36,44.9
30.51,23.36
44.74,26.5
58.77,32.6
71.69,45.77
71.22,53.84
3.65,14.84
20.35,1.57
82.36,56.49
41.49,30.66
76.99,49.09
7.59,13.82
46.0,44.22
33.5,21.69
72.64,38.59
27.6,14.43
29.59,28.73
67.68,45.83
19.91,21.92
90.87,53.88
92.37,73.43
11.69,10.54
78.16,53.41
0.32,0
20.54,25.54
37.23,23.28
