study_hours_inverted,score_inverted
18.7,54.07
21.51,62.54
38.78,35.1
26.94,53.63
83.43,27.13
84.67,9.74
82.83,20.37
9.0,56.6
14.39,55.36
49.22,32.54
51.28,20.91
88.18,9.67
47.51,41.28
25.0,47.01
40.07,39.09
91.82,0
34.67,48.52
89.74,6.71
45.15,32.24
60.29,26.12
78.08,12.26
21.21,53.54
36.09,45.36
7.28,56.0
45.1,33.27
26.92,52.13
31.59,57.52
97.95,2.62
94.9,9.35
80.22,13.67
63.99,22.44
20.55,60.62
90.91,0.13
64.28,36.98
71.98,11.73
60.83,21.8
81.25,32.19
5.51,58.22
80.26,20.47
89.55,0.57
25.25,42.91
6.7,63.46
36.24,36.86
25.58,50.6
98.55,5.97
74.07,24.59
81.62,14.53
55.54,9.38
29.43,57.31
