ad_spend_inverted,sales_inverted
64.15,40.69
44.58,40.07
6.84,18.4
53.88,33.68
37.39,16.73
22.07,19.54
57.45,41.34
77.25,55.59
61.79,54.88
62.2,39.5
37.44,25.47
99.29,67.28
34.87,20.11
15.64,2.88
74.85,65.95
17.54,14.96
65.44,51.28
72.29,59.13
38.11,27.49
3.24,14.26
32.43,20.99
32.48,22.76
99.68,73.8
53.04,35.08
65.84,43.91
70.44,61.77
59.3,48.35
70.87,54.02
45.82,43.2
28.6,16.82
31.84,21.95
2.55,0
86.85,67.5
19.42,15.22
62.0,45.18
4.25,17.14
78.09,52.74
56.27,33.43
94.39,65.16
32.05,27.07
64.32,50.94
52.81,50.15
7.09,11.77
72.16,60.76
62.47,45.95
8.24,15.09
64.21,54.62
83.79,68.87
39.03,38.0
41.35,34.61
35.27,23.03
58.64,36.52
29.74,13.75
0.25,7.54
70.18,40.2
71.44,44.99
1.05,15.06
51.3,35.07
86.72,69.78
83.3,50.41
90.84,59.26
50.02,46.09
82.31,67.9
98.62,77.99
88.67,63.38
74.63,54.68
79.27,66.38
19.57,7.52
