ad_spend_inverted,sales_inverted
61.13,79.95
24.17,51.38
51.3,60.44
70.39,32.69
62.07,8.04
95.84,11.4
17.92,40.34
50.59,48.72
32.78,2.62
81.98,5.87
1.02,35.44
32.56,63.22
2.35,56.79
28.86,43.48
72.13,40.63
21.89,75.5
86.21,56.02
95.33,42.47
17.55,1.42
81.17,35.71
58.95,57.48
9.95,51.07
77.57,56.9
41.41,5.48
75.15,50.84
81.35,10.26
98.09,34.42
22.59,34.68
20.41,21.03
94.5,69.49
61.49,53.76
51.22,26.81
33.29,40.52
16.59,47.73
27.13,38.51
72.37,11.63
23.49,20.39
30.83,41.23
36.45,63.77
54.51,53.07
36.47,37.87
34.4,51.26
69.11,43.56
39.03,37.16
78.78,45.8
73.47,35.69
78.52,12.46
95.55,36.05
89.17,30.17
88.0,25.53
56.74,27.47
30.91,45.07
6.6,0
41.27,39.11
22.3,56.93
80.15,31.16
48.97,61.96
75.34,63.7
79.8,48.51
97.79,5.84
40.06,29.47
59.72,13.49
68.1,18.18
24.52,49.81
21.99,57.28
86.14,74.52
92.9,6.53
8.71,49.86
19.0,41.25
3.01,48.27
52.04,26.03
43.66,7.24
57.75,41.16
89.32,38.64
51.52,41.74
84.28,74.02
8.64,32.28
