sunlight_inverted,growth_inverted
71.12,55.77
9.22,0
81.41,56.96
66.7,52.15
14.18,6.43
70.5,50.81
75.53,41.3
96.35,49.12
55.55,22.16
66.82,43.29
67.83,39.86
44.3,34.11
20.04,17.44
81.95,61.8
68.48,53.36
70.32,39.24
69.98,48.08
98.12,66.04
77.11,57.53
96.16,65.76
49.41,31.31
16.77,13.14
67.1,46.37
30.26,22.51
92.04,66.26
16.25,18.6
86.58,52.66
24.06,22.34
86.13,49.92
79.42,54.0
51.47,45.51
32.34,29.2
33.89,14.72
39.39,40.37
88.77,66.32
23.46,21.82
68.73,48.44
6.57,0
47.06,30.81
11.63,16.91
0.81,1.43
53.75,37.64
93.16,68.46
87.86,66.35
30.11,38.37
3.86,2.76
82.74,48.9
54.38,50.78
78.16,57.8
85.0,69.01
25.93,24.64
45.48,33.84
8.63,1.89
83.12,57.66
33.48,19.9
24.58,15.05
97.82,67.89
77.08,55.12
8.3,0
53.14,41.09
88.16,80.8
93.44,51.61
58.05,42.78
57.65,41.91
18.47,12.79
59.68,44.28
38.87,41.6
81.56,57.39
71.92,58.54
54.94,28.99
97.78,63.39
40.97,46.91
89.16,72.5
